score,rank,count
319,266702,700
318,267402,700
317,268102,700
316,268802,700
315,269501,699
314,270201,700
313,270901,700
312,271601,700
311,272301,700
310,273001,700
309,273701,700
308,274401,700
307,275100,699
306,275800,700
305,276500,700
304,277200,700
303,277900,700
302,278600,700
301,279300,700
300,280000,700
299,256649,23351
298,257289,640
297,257929,640
296,258569,640
295,259209,640
294,259849,640
293,260489,640
292,261129,640
291,261769,640
290,262409,640
289,263048,639
288,263688,640
287,264328,640
286,264968,640
285,265608,640
284,266248,640
283,266888,640
282,267528,640
281,268168,640
280,268808,640
279,269447,639
278,270087,640
277,270727,640
276,271367,640
275,272007,640
274,272647,640
273,273287,640
272,273927,640
271,274567,640
270,275207,640
269,275846,639
268,276486,640
267,277126,640
266,277766,640
265,278406,640
264,279046,640
263,279686,640
262,280326,640
261,280966,640
260,281606,640
259,282245,639
258,282885,640
257,283525,640
256,284165,640
255,284805,640
254,285445,640
253,286085,640
252,286725,640
251,287365,640
250,288005,640
249,288644,639
248,289284,640
247,289924,640
246,290564,640
245,291204,640
244,291844,640
243,292484,640
242,293124,640
241,293764,640
240,294404,640
239,295043,639
238,295683,640
237,296323,640
236,296963,640
235,297603,640
234,298243,640
233,298883,640
232,299523,640
231,300163,640
230,300803,640
229,301442,639
228,302082,640
227,302722,640
226,303362,640
225,304002,640
224,304642,640
223,305282,640
222,305922,640
221,306562,640
220,307202,640
219,307841,639
218,308481,640
217,309121,640
216,309761,640
215,310401,640
214,311041,640
213,311681,640
212,312321,640
211,312961,640
210,313601,640
209,314240,639
208,314880,640
207,315520,640
206,316160,640
205,316800,640
204,317440,640
203,318080,640
202,318720,640
201,319360,640
200,320000,640
199,346149,26149
198,346840,691
197,347531,691
196,348222,691
195,348913,691
194,349604,691
193,350294,690
192,350985,691
191,351676,691
190,352367,691
189,353058,691
188,353748,690
187,354439,691
186,355130,691
185,355821,691
184,356512,691
183,357203,691
182,357893,690
181,358584,691
180,359275,691
179,359966,691
178,360657,691
177,361347,690
176,362038,691
175,362729,691
174,363420,691
173,364111,691
172,364802,691
171,365492,690
170,366183,691
169,366874,691
168,367565,691
167,368256,691
166,368946,690
165,369637,691
164,370328,691
163,371019,691
162,371710,691
161,372401,691
160,373091,690
159,373782,691
158,374473,691
157,375164,691
156,375855,691
155,376545,690
154,377236,691
153,377927,691
152,378618,691
151,379309,691
