score,rank,count
552,90339,1555
551,91804,1465
550,93426,1622
549,95010,1584
548,96576,1566
547,98198,1622
546,99827,1629
545,101373,1546
544,103094,1721
543,104842,1748
542,106482,1640
541,108187,1705
540,109866,1679
539,111604,1738
538,113341,1737
537,115086,1745
536,116813,1727
535,118524,1711
534,120336,1812
533,122049,1713
532,123827,1778
531,125614,1787
530,127337,1723
529,129179,1842
528,130960,1781
527,132758,1798
526,134586,1828
525,136295,1709
524,138099,1804
523,139930,1831
522,141658,1728
521,143531,1873
520,145272,1741
519,147090,1818
518,148886,1796
517,150679,1793
516,152522,1843
515,154348,1826
514,156102,1754
513,157899,1797
512,159692,1793
511,161531,1839
510,163363,1832
509,165139,1776
508,166949,1810
507,168733,1784
506,170488,1755
505,172332,1844
504,174089,1757
503,175889,1800
502,177675,1786
501,179583,1908
500,181455,1872
499,183291,1836
498,185126,1835
497,186874,1748
496,188729,1855
495,190526,1797
494,192259,1733
493,194034,1775
492,195831,1797
491,197614,1783
490,199349,1735
489,201094,1745
488,202839,1745
487,204651,1812
486,206447,1796
485,208148,1701
484,209866,1718
483,211659,1793
482,213423,1764
481,215221,1798
480,216893,1672
479,218594,1701
478,220260,1666
477,221980,1720
476,223618,1638
475,225415,1797
474,227136,1721
473,228960,1824
472,230651,1691
471,232331,1680
470,234020,1689
469,235723,1703
468,237395,1672
467,239102,1707
466,240795,1693
465,242445,1650
464,244093,1648
463,245785,1692
462,247465,1680
461,249121,1656
460,250839,1718
459,252495,1656
458,254164,1669
457,255864,1700
456,257464,1600
455,259117,1653
454,260737,1620
453,262321,1584
452,263921,1600
451,265543,1622
450,267122,1579
449,268686,1564
448,270186,1500
447,271749,1563
446,273336,1587
445,274848,1512
444,276329,1481
443,277860,1531
442,279395,1535
441,280923,1528
440,282455,1532
439,283947,1492
438,285426,1479
437,286981,1555
436,288453,1472
435,289883,1430
434,291350,1467
433,292747,1397
432,294215,1468
431,295626,1411
430,297032,1406
429,298439,1407
428,299837,1398
427,301254,1417
426,302585,1331
425,303919,1334
424,305250,1331
423,306570,1320
422,307888,1318
421,309216,1328
420,310504,1288
419,311860,1356
418,313109,1249
417,314385,1276
416,315639,1254
415,316890,1251
414,318141,1251
413,319373,1232
412,320571,1198
411,321790,1219
410,322973,1183
409,324134,1161
408,325310,1176
407,326484,1174
406,327707,1223
405,328773,1066
404,329909,1136
403,331116,1207
402,332233,1117
401,333350,1117
400,334500,1150
399,335581,1081
398,336599,1018
397,337660,1061
396,338736,1076
395,339821,1085
394,340857,1036
393,341909,1052
392,342964,1055
391,343982,1018
390,345015,1033
389,346015,1000
388,347003,988
387,347952,949
386,348943,991
385,349871,928
384,350855,984
383,351801,946
382,352731,930
381,353650,919
380,354537,887
379,355450,913
378,356373,923
377,357363,990
376,358249,886
375,359114,865
374,360042,928
373,360968,926
372,361843,875
371,362693,850
370,363579,886
369,364393,814
368,365231,838
367,366027,796
366,366837,810
365,367663,826
364,368459,796
363,369242,783
362,369975,733
361,370772,797
360,371570,798
359,372328,758
358,373067,739
357,373810,743
356,374504,694
355,375234,730
354,376024,790
353,376731,707
352,377407,676
351,378136,729
350,378821,685
349,379513,692
348,380214,701
347,380922,708
346,381590,668
345,382271,681
344,382963,692
343,383631,668
342,384266,635
341,384914,648
340,385550,636
339,386177,627
338,386840,663
337,387490,650
336,388115,625
335,388763,648
334,389395,632
333,390006,611
332,390606,600
331,391191,585
330,391774,583
329,392380,606
328,392953,573
327,393535,582
326,394126,591
325,394691,565
324,395278,587
323,395868,590
322,396401,533
321,396964,563
320,397455,491
319,398028,573
318,398580,552
317,399142,562
316,399679,537
315,400192,513
314,400712,520
313,401214,502
312,401760,546
311,402260,500
310,402757,497
309,403232,475
308,403742,510
307,404211,469
306,404696,485
305,405203,507
304,405652,449
303,406114,462
302,406559,445
301,407028,469
300,407474,446
299,407979,505
298,408456,477
297,408878,422
296,409346,468
295,409791,445
294,410251,460
293,410659,408
292,411079,420
291,411485,406
290,411920,435
289,412327,407
288,412723,396
287,413124,401
286,413538,414
285,413950,412
284,414350,400
283,414742,392
282,415122,380
281,415514,392
280,415896,382
279,416272,376
278,416654,382
277,417020,366
276,417353,333
275,417718,365
274,418103,385
273,418434,331
272,418789,355
271,419142,353
270,419440,298
269,419754,314
268,420091,337
267,420373,282
266,420686,313
265,420980,294
264,421299,319
263,421591,292
262,421889,298
261,422204,315
260,422490,286
259,422794,304
258,423058,264
257,423336,278
256,423577,241
255,423858,281
254,424107,249
253,424361,254
252,424624,263
251,424872,248
250,425106,234
249,425361,255
248,425574,213
247,425781,207
246,426005,224
245,426219,214
244,426408,189
243,426607,199
242,426801,194
241,426994,193
240,427171,177
239,427368,197
238,427550,182
237,427707,157
236,427869,162
235,428019,150
234,428177,158
233,428318,141
232,428461,143
231,428592,131
230,428735,143
229,428883,148
228,428992,109
227,429108,116
226,429232,124
225,429344,112
224,429470,126
223,429592,122
222,429704,112
221,429804,100
220,429892,88
219,429995,103
218,430072,77
217,430191,119
216,430295,104
215,430388,93
214,430475,87
213,430552,77
212,430632,80
211,430712,80
210,430793,81
209,430852,59
208,430920,68
207,430980,60
206,431037,57
205,431096,59
204,431162,66
203,431213,51
202,431256,43
201,431324,68
200,431360,36
199,431424,64
198,431478,54
197,431527,49
196,431574,47
195,431617,43
194,431665,48
193,431729,64
192,431776,47
191,431814,38
190,431855,41
189,431902,47
188,431942,40
187,431982,40
186,432024,42
185,432064,40
184,432099,35
183,432131,32
182,432170,39
181,432198,28
180,432231,33
179,432262,31
178,432293,31
177,432323,30
176,432351,28
175,432379,28
174,432401,22
173,432430,29
172,432455,25
171,432489,34
170,432515,26
169,432540,25
168,432557,17
167,432581,24
166,432603,22
165,432625,22
164,432643,18
163,432664,21
162,432685,21
161,432709,24
160,432727,18
159,432753,26
158,432778,25
157,432798,20
156,432817,19
155,432838,21
154,432855,17
153,432870,15
152,432894,24
151,432909,15
150,432919,10
149,432936,17
148,432954,18
147,432969,15
146,432981,12
145,432993,12
144,433005,12
143,433013,8
142,433028,15
141,433037,9
140,433045,8
139,433049,4
138,433059,10
137,433074,15
136,433084,10
135,433090,6
134,433096,6
133,433107,11
132,433116,9
131,433121,5
130,433125,4
129,433131,6
128,433138,7
127,433144,6
126,433152,8
125,433159,7
124,433171,12
123,433180,9
122,433186,6
121,433188,2
120,433200,12
119,433210,10
118,433215,5
117,433224,9
116,433227,3
115,433232,5
114,433244,12
113,433250,6
112,433261,11
111,433273,12
110,433280,7
109,433292,12
108,433296,4
107,433312,16
106,433323,11
105,433333,10
104,433340,7
103,433346,6
102,433353,7
101,433359,6
100,433366,7
